No.,Time,Source,Destination,Protocol,Length,Info
6961,400.925855,23.48.226.8,192.168.1.10,TCP,54,80  >  56166 [ACK] Seq=1 Ack=112 Win=64256 Len=0
6962,400.925855,23.48.226.8,192.168.1.10,TCP,54,[TCP Dup ACK 6961#1] 80  >  56166 [ACK] Seq=1 Ack=112 Win=64256 Len=0
6963,400.926861,23.48.226.8,192.168.1.10,HTTP,241,HTTP/1.1 200 OK  (text/plain)
6964,400.926861,23.48.226.8,192.168.1.10,TCP,54,"80  >  56166 [FIN, ACK] Seq=188 Ack=112 Win=64256 Len=0"
6965,400.926891,192.168.1.10,23.48.226.8,TCP,54,56166  >  80 [ACK] Seq=112 Ack=189 Win=65280 Len=0
6966,400.927252,192.168.1.10,23.48.226.8,TCP,54,"56166  >  80 [FIN, ACK] Seq=112 Ack=189 Win=65280 Len=0"
6967,400.940655,23.48.226.8,192.168.1.10,TCP,54,80  >  56166 [ACK] Seq=189 Ack=113 Win=64256 Len=0
6968,401.464321,192.168.1.10,239.255.102.18,IGMPv2,46,Membership Report group 239.255.102.18
6969,401.466789,192.168.1.10,239.255.102.18,UDP,207,52565  >  50001 Len=165
6970,401.467826,192.168.1.10,239.255.102.18,UDP,207,52566  >  50002 Len=165
6971,401.468823,192.168.1.10,239.255.102.18,UDP,207,52567  >  50003 Len=165
6972,401.472399,192.168.1.10,192.168.1.1,DNS,71,Standard query 0xaafe A th.bing.com
6973,401.472625,192.168.1.10,192.168.1.1,DNS,71,Standard query 0xd220 HTTPS th.bing.com
6974,401.490222,192.168.1.1,192.168.1.10,DNS,236,Standard query response 0xaafe A th.bing.com CNAME p-th.bing.com.trafficmanager.net CNAME th.bing.com.edgekey.net CNAME e86303.dscx.akamaiedge.net A 23.202.229.23 A 23.202.229.5 A 23.202.229.22
6975,401.490222,192.168.1.1,192.168.1.10,DNS,249,Standard query response 0xd220 HTTPS th.bing.com CNAME p-th.bing.com.trafficmanager.net CNAME th.bing.com.edgekey.net CNAME e86303.dscx.akamaiedge.net SOA n0dscx.akamaiedge.net
6976,401.497861,192.168.1.10,192.168.1.1,TCP,66,64718  >  53 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM
6977,401.498018,192.168.1.10,192.168.1.1,TCP,66,51957  >  53 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM
6978,401.498425,192.168.1.10,192.168.1.1,TCP,66,53854  >  53 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM
6979,401.498525,192.168.1.10,192.168.1.1,TCP,66,51634  >  53 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM
6980,401.498828,192.168.1.10,192.168.1.1,TCP,66,50510  >  53 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM
6981,401.498925,192.168.1.10,192.168.1.1,TCP,66,58946  >  53 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM
6982,401.50572,192.168.1.1,192.168.1.10,TCP,66,"53  >  64718 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=32"
6983,401.50572,192.168.1.1,192.168.1.10,TCP,66,"53  >  51957 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=32"
6984,401.50572,192.168.1.1,192.168.1.10,TCP,66,"53  >  53854 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=32"
6985,401.50572,192.168.1.1,192.168.1.10,TCP,66,"53  >  51634 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=32"
6986,401.50572,192.168.1.1,192.168.1.10,TCP,66,"53  >  50510 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=32"
6987,401.50572,192.168.1.1,192.168.1.10,TCP,66,"53  >  58946 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=32"
6988,401.505966,192.168.1.10,192.168.1.1,TCP,54,64718  >  53 [ACK] Seq=1 Ack=1 Win=65280 Len=0
6989,401.506,192.168.1.10,192.168.1.1,TCP,54,51957  >  53 [ACK] Seq=1 Ack=1 Win=65280 Len=0
6990,401.506007,192.168.1.10,192.168.1.1,TCP,54,53854  >  53 [ACK] Seq=1 Ack=1 Win=65280 Len=0
6991,401.506013,192.168.1.10,192.168.1.1,TCP,54,51634  >  53 [ACK] Seq=1 Ack=1 Win=65280 Len=0
6992,401.506023,192.168.1.10,192.168.1.1,TCP,54,50510  >  53 [ACK] Seq=1 Ack=1 Win=65280 Len=0
6993,401.506037,192.168.1.10,192.168.1.1,TCP,54,58946  >  53 [ACK] Seq=1 Ack=1 Win=65280 Len=0
6994,401.507654,192.168.1.10,192.168.1.1,TCP,56,"64718  >  53 [PSH, ACK] Seq=1 Ack=1 Win=65280 Len=2 [TCP PDU reassembled in 6995]"
6995,401.507713,192.168.1.10,192.168.1.1,DNS,97,Standard query 0xc33f A widget-mediator.zopim.com
6996,401.507927,192.168.1.10,192.168.1.1,TCP,56,"51957  >  53 [PSH, ACK] Seq=1 Ack=1 Win=65280 Len=2 [TCP PDU reassembled in 6997]"
6997,401.508025,192.168.1.10,192.168.1.1,DNS,97,Standard query 0x9b2e HTTPS widget-mediator.zopim.com
6998,401.508128,192.168.1.10,192.168.1.1,TCP,56,"53854  >  53 [PSH, ACK] Seq=1 Ack=1 Win=65280 Len=2 [TCP PDU reassembled in 6999]"
6999,401.508166,192.168.1.10,192.168.1.1,DNS,88,Standard query 0x7f5b A web.whatsapp.com
7000,401.508266,192.168.1.10,192.168.1.1,TCP,56,"51634  >  53 [PSH, ACK] Seq=1 Ack=1 Win=65280 Len=2 [TCP PDU reassembled in 7001]"
7001,401.508331,192.168.1.10,192.168.1.1,DNS,88,Standard query 0xd6c6 HTTPS web.whatsapp.com
7002,401.50845,192.168.1.10,192.168.1.1,TCP,56,"50510  >  53 [PSH, ACK] Seq=1 Ack=1 Win=65280 Len=2 [TCP PDU reassembled in 7003]"
7003,401.508516,192.168.1.10,192.168.1.1,DNS,88,Standard query 0x3256 A web.whatsapp.com
7004,401.508648,192.168.1.10,192.168.1.1,TCP,56,"58946  >  53 [PSH, ACK] Seq=1 Ack=1 Win=65280 Len=2 [TCP PDU reassembled in 7005]"
7005,401.508692,192.168.1.10,192.168.1.1,DNS,101,Standard query 0x4ca0 HTTPS _5222._https.web.whatsapp.com
7006,401.514157,192.168.1.1,192.168.1.10,TCP,54,53  >  64718 [ACK] Seq=1 Ack=3 Win=29216 Len=0
7007,401.514157,192.168.1.1,192.168.1.10,TCP,54,53  >  64718 [ACK] Seq=1 Ack=46 Win=29216 Len=0
7008,401.514157,192.168.1.1,192.168.1.10,TCP,54,53  >  51957 [ACK] Seq=1 Ack=3 Win=29216 Len=0
7009,401.514157,192.168.1.1,192.168.1.10,TCP,54,53  >  51957 [ACK] Seq=1 Ack=46 Win=29216 Len=0
7010,401.514157,192.168.1.1,192.168.1.10,TCP,54,53  >  53854 [ACK] Seq=1 Ack=3 Win=29216 Len=0
7011,401.514157,192.168.1.1,192.168.1.10,TCP,54,53  >  53854 [ACK] Seq=1 Ack=37 Win=29216 Len=0
7012,401.514157,192.168.1.1,192.168.1.10,TCP,54,53  >  51634 [ACK] Seq=1 Ack=3 Win=29216 Len=0
7013,401.514157,192.168.1.1,192.168.1.10,TCP,54,53  >  51634 [ACK] Seq=1 Ack=37 Win=29216 Len=0
7014,401.514157,192.168.1.1,192.168.1.10,TCP,54,53  >  50510 [ACK] Seq=1 Ack=3 Win=29216 Len=0
7015,401.514157,192.168.1.1,192.168.1.10,TCP,54,53  >  50510 [ACK] Seq=1 Ack=37 Win=29216 Len=0
7016,401.514157,192.168.1.1,192.168.1.10,TCP,54,53  >  58946 [ACK] Seq=1 Ack=3 Win=29216 Len=0
7017,401.514157,192.168.1.1,192.168.1.10,TCP,54,53  >  58946 [ACK] Seq=1 Ack=50 Win=29216 Len=0
7018,401.516472,192.168.1.10,23.202.229.23,QUIC,1292,"Initial, DCID=ac68722d856d5c26, PKN: 1, PING, PADDING, CRYPTO, PADDING, CRYPTO, CRYPTO, PADDING, CRYPTO, PING"
7019,401.516651,192.168.1.10,23.202.229.23,QUIC,1292,"Initial, DCID=ac68722d856d5c26, PKN: 2, CRYPTO, CRYPTO, PING, PADDING, PING, CRYPTO, CRYPTO, PING, PADDING, CRYPTO, PING, PING, CRYPTO, CRYPTO, PADDING, CRYPTO, PING, PADDING, CRYPTO, CRYPTO"
7020,401.527056,23.202.229.23,192.168.1.10,QUIC,82,"Initial, SCID=4b344bf198808a30, PKN: 1, ACK"
7021,401.527056,23.202.229.23,192.168.1.10,QUIC,1292,"Initial, SCID=4b344bf198808a30, PKN: 2, ACK, PADDING"
7022,401.527056,23.202.229.23,192.168.1.10,QUIC,1292,"Initial, SCID=4b344bf198808a30, PKN: 3, CRYPTO, PADDING"
7023,401.527056,23.202.229.23,192.168.1.10,QUIC,308,"Handshake, SCID=4b344bf198808a30"
7024,401.527815,192.168.1.10,23.202.229.23,QUIC,204,"Protected Payload (KP0), DCID=4b344bf198808a30"
7025,401.528095,192.168.1.10,23.202.229.23,QUIC,737,"Protected Payload (KP0), DCID=4b344bf198808a30"
7026,401.547955,192.168.1.10,23.202.229.23,QUIC,199,"Protected Payload (KP0), DCID=4b344bf198808a30"
7027,401.552003,23.202.229.23,192.168.1.10,QUIC,82,"Handshake, SCID=4b344bf198808a30"
7028,401.552003,23.202.229.23,192.168.1.10,QUIC,345,Protected Payload (KP0)
7029,401.552003,23.202.229.23,192.168.1.10,QUIC,100,Protected Payload (KP0)
7030,401.552003,23.202.229.23,192.168.1.10,QUIC,63,Protected Payload (KP0)
7031,401.552003,23.202.229.23,192.168.1.10,QUIC,112,Protected Payload (KP0)
7032,401.552003,192.168.1.1,192.168.1.10,TCP,55,"53  >  58946 [PSH, ACK] Seq=1 Ack=50 Win=29216 Len=1 [TCP PDU reassembled in 7080]"
7033,401.552003,23.202.229.23,192.168.1.10,QUIC,598,Protected Payload (KP0)
7034,401.552003,23.202.229.23,192.168.1.10,QUIC,1292,Protected Payload (KP0)
7035,401.552003,23.202.229.23,192.168.1.10,QUIC,1292,Protected Payload (KP0)
7036,401.552003,23.202.229.23,192.168.1.10,QUIC,1292,Protected Payload (KP0)
7037,401.552003,23.202.229.23,192.168.1.10,QUIC,1292,Protected Payload (KP0)
7038,401.552003,23.202.229.23,192.168.1.10,QUIC,1292,Protected Payload (KP0)
7039,401.552003,23.202.229.23,192.168.1.10,QUIC,1292,Protected Payload (KP0)
7040,401.552003,23.202.229.23,192.168.1.10,QUIC,1292,Protected Payload (KP0)
7041,401.552003,23.202.229.23,192.168.1.10,QUIC,1292,Protected Payload (KP0)
7042,401.552003,23.202.229.23,192.168.1.10,QUIC,1292,Protected Payload (KP0)
7043,401.552003,23.202.229.23,192.168.1.10,QUIC,1292,Protected Payload (KP0)
7044,401.552003,23.202.229.23,192.168.1.10,QUIC,1292,Protected Payload (KP0)
7045,401.552003,23.202.229.23,192.168.1.10,QUIC,1292,Protected Payload (KP0)
7046,401.552003,23.202.229.23,192.168.1.10,QUIC,1292,Protected Payload (KP0)
7047,401.552003,192.168.1.1,192.168.1.10,TCP,55,"53  >  51634 [PSH, ACK] Seq=1 Ack=37 Win=29216 Len=1 [TCP PDU reassembled in 7081]"
7048,401.552003,23.202.229.23,192.168.1.10,QUIC,1494,Protected Payload (KP0)
7049,401.552003,23.202.229.23,192.168.1.10,QUIC,1292,Protected Payload (KP0)
7050,401.552003,23.202.229.23,192.168.1.10,QUIC,1292,Protected Payload (KP0)
7051,401.552003,23.202.229.23,192.168.1.10,QUIC,1292,Protected Payload (KP0)
7052,401.552003,23.202.229.23,192.168.1.10,QUIC,1065,Protected Payload (KP0)
7053,401.552003,192.168.1.1,192.168.1.10,TCP,55,"53  >  50510 [PSH, ACK] Seq=1 Ack=37 Win=29216 Len=1 [TCP PDU reassembled in 7082]"
